 [4641/4641 1:58:21, Epoch 2/3]
Step	Training Loss
3665	0.691100
3670	0.828200
3675	0.852400
3680	0.826200
3685	0.656000
3690	0.791300
3695	0.613100
3700	0.635200
3705	0.638700
3710	0.669900
3715	0.694500
3720	0.794900
3725	0.834100
3730	0.760900
3735	0.724700
3740	0.767500
3745	0.657300
3750	0.669000
3755	0.680500
3760	0.744200
3765	0.738600
3770	0.849200
3775	0.834600
3780	0.711200
3785	0.683800
3790	0.761500
3795	0.614500
3800	0.656300
3805	0.669400
3810	0.742700
3815	0.710100
3820	0.768000
3825	0.870500
3830	0.784200
3835	0.784000
3840	0.793500
3845	0.657200
3850	0.654600
3855	0.685700
3860	0.692800
3865	0.704900
3870	0.815500
3875	0.880500
3880	0.836200
3885	0.770500
3890	0.762800
3895	0.627300
3900	0.661900
3905	0.683300
3910	0.743600
3915	0.699500
3920	0.795700
3925	0.842500
3930	0.830000
3935	0.733400
3940	0.732100
3945	0.620900
3950	0.673100
3955	0.657400
3960	0.719200
3965	0.645700
3970	0.778100
3975	0.820000
3980	0.780800
3985	0.783200
3990	0.732300
3995	0.653700
4000	0.677900
4005	0.656000
4010	0.742500
4015	0.674200
4020	0.838600
4025	0.876000
4030	0.764100
4035	0.790500
4040	0.720300
4045	0.675900
4050	0.636900
4055	0.690000
4060	0.732300
4065	0.703900
4070	0.857300
4075	0.874400
4080	0.730900
4085	0.724900
4090	0.712500
4095	0.602900
4100	0.674300
4105	0.690400
4110	0.735100
4115	0.702000
4120	0.849800
4125	0.829700
4130	0.783300
4135	0.708300
4140	0.719400
4145	0.646500
4150	0.658800
4155	0.701500
4160	0.739200
4165	0.666100
4170	0.787500
4175	0.833900
4180	0.842400
4185	0.751800
4190	0.725700
4195	0.635300
4200	0.664200
4205	0.675700
4210	0.701300
4215	0.712500
4220	0.879800
4225	0.850000
4230	0.741900
4235	0.711900
4240	0.770700
4245	0.600900
4250	0.670800
4255	0.661200
4260	0.754300
4265	0.732700
4270	0.851700
4275	0.843800
4280	0.772700
4285	0.702500
4290	0.797100
4295	0.706400
4300	0.667300
4305	0.642000
4310	0.723900
4315	0.670800
4320	0.785400
4325	0.816100
4330	0.756600
4335	0.730800
4340	0.666700
4345	0.589500
4350	0.659800
4355	0.621400
4360	0.644400
4365	0.683400
4370	0.742000
4375	0.844700
4380	0.843800
4385	0.762000
4390	0.767600
4395	0.659400
4400	0.668500
4405	0.655100
4410	0.722900
4415	0.702300
4420	0.770100
4425	0.886600
4430	0.834200
4435	0.762500
4440	0.696600
4445	0.665100
4450	0.676200
4455	0.652600
4460	0.786600
4465	0.613600
4470	0.833100
4475	0.904800
4480	0.773000
4485	0.763000
4490	0.759200
4495	0.626900
4500	0.678400
4505	0.632900
4510	0.710000
4515	0.668700
4520	0.822600
4525	0.798200
4530	0.786400
4535	0.763600
4540	0.746900
4545	0.613200
4550	0.656700
4555	0.652700
4560	0.737300
4565	0.701000
4570	0.778500
4575	0.870400
4580	0.799800
4585	0.786400
4590	0.800800
4595	0.692000
4600	0.631300
4605	0.659000
4610	0.678500
4615	0.735600
4620	0.855100
4625	0.799200
4630	0.754500
4635	0.689200
4640	0.702100
